"seller_id","cluster7"
"1","01266d4c46afa519678d16a8b683d325",1
"2","01fd077212124329bac32490e8ef80d9",2
"3","02f623a8eb246f3c5f7c2f96462654e6",2
"4","03a2a6dcbe45d639c4dc2a0d24769c40",2
"5","044668ccd5316b12a7cf0d54a156e3e9",1
"6","04843805947f0fc584fc1969b6e50fe7",1
"7","05a48cc8859962767935ab9087417fbb",1
"8","05e107217c7266362fd44b75b2cd4cc4",2
"9","07de60b03d150fb3ea09eab5da5e4c8b",2
"10","0873d9f8f36123f8d910f4760e788cfb",2
"11","08d1c9478fb0d7d7fcac9c0da4e82fc7",1
"12","094ced053e257ae8cae57205592d6712",2
"13","09bad886111255c5b5030314fc7f1a4a",1
"14","0a85ebe4e328db81ac9109781205e2f7",2
"15","0b1ca3ef18a63d7eb0c8897fa0849c08",1
"16","0cab2da43793a6f3c5ed8514c5f54627",1
"17","0ddefe3c7a032b91f4e25b9c3a08fca1",2
"18","0e72c1a751b496722a6cb1f10653b62a",2
"19","11742f81550ac064cc9a40f67151d9ad",1
"20","117cfc326c6d50da67ca858ff5c0c852",2
"21","11fb6f6d341adbe19e81733701704635",1
"22","120476eb7a04c149d14772edaf5d9bf2",2
"23","131fcb0a0c9a47bba4474aacff0f14b7",2
"24","134285d1f41da5c13a756ee8142c8a4e",2
"25","13511db12ac61e2f89c53b72a944a60b",2
"26","138dbe45fc62f1e244378131a6801526",3
"27","1444c08e64d55fb3c25f0f09c07ffcf2",2
"28","160851d3ece7aa1a510f8d1a4bb8a8af",1
"29","165b1235e9e9942cb5fae67103576fb0",2
"30","184725737946a1a938bbbd1a9e978103",2
"31","186cdd1b2df32caa72cfb410bba768d3",2
"32","189ca3538ce9f920cacf0f982cbe223b",2
"33","18e694e0e48ed6f7aa3f24aade5fd697",2
"34","1961c3e1272bfeceb05d0b78b5bbfdaf",2
"35","19d62d484cba71963c93f0f00ab42013",2
"36","1a8e2d9c38b84a9702ac7922924b0573",1
"37","1a932caad4f9d804097d7f8e615baed1",2
"38","1b4b28463457a256e9a784ebe2a8f630",2
"39","1c742ac33582852aaf3bcfbf5893abcf",1
"40","1cbd32d00d01bb8087a5eb088612fd9c",2
"41","1cbdc7cf130a41fd13a3c2a7d2fcfda7",1
"42","1d953075c2f0dd990bacf27b83b330f1",1
"43","1e26c56af8d48424e1df0140a2401f83",1
"44","1f7dfad2cb384ea4d2d7e1ffbd78c407",2
"45","1fe5540d7c1c37a595fefbacd5570d9e",2
"46","2039c5e51785b5dde7cf93ccb3b7be2c",1
"47","213fafb0ca06fb3d5886579c2565791b",2
"48","249f0e9905a6e06ad6c6bea7547ab9f6",2
"49","2646baaf662d4d92ac48f047e35db92d",2
"50","269c5fc9fcadee614364c3620c30a1f9",1
"51","26e2c91ef821e1ff8985f408788fe35b",2
"52","271b8923c6a549e02d3c9fd1f8c0422b",2
"53","271c58a1d139c45eaf3316107c6d3a3b",2
"54","28872dc528e978a639754bc8c2ce5a4c",1
"55","28c7d8743fbc8679f484868cc0fcaefb",1
"56","28f10b1c5e5abb9d4857745bede6147c",2
"57","299c89a525fee36c567f4fe72f038100",2
"58","2aafae69bf4c41fbd94053d9413e87ee",2
"59","2ba91c7ad80ff88b23b7db823b43c233",2
"60","2c2c9832d1bb38c5b0034a3b47d313ee",2
"61","2c43fb513632d29b3b58df74816f1b06",2
"62","2cb6eb1b7185064167657fa09f541105",2
"63","2cb98e27ce1c18abdb42209b34c382a7",2
"64","2d2322d842118867781fc737e96d59a1",2
"65","2d34636518ba88f5349b732fcf8ba2e4",1
"66","2d42ebcda99fd55f6f4bc2f1ca035d50",2
"67","2e7ea2aafec5835e781b21d6d1faf1f1",2
"68","2fa13c8bd5705d279f7ed5cc9ec61c68",1
"69","30a81d8cf85fb2ada1b1b094c9583a95",2
"70","31be790e64fc99f8ff48ec2bd18a3104",2
"71","3289d8c3eef4873f91ce0b1343c0dd58",1
"72","33cbbec1e7e1044aaf11d152172c776f",2
"73","33d677f27a69b84051204ee4ae76eaca",2
"74","33dd941c27854f7625b968cc6195a552",2
"75","3492e68f37fd1df87f4f2f2ea247f445",2
"76","34f563c82a85b99ae9e6d60db5fc2e28",2
"77","36f98ad67cc981f50ce8aed093d5783c",2
"78","377bc18334c78dd2f1535ef22a3ad225",1
"79","382229d1e840115ffe3dbf5ff460e417",2
"80","3903c788ded8dc03b5ebab37a2f3e9a1",2
"81","398cb257329ef7af7f1943a8974a3cbc",1
"82","3ab971ce71839580d2ae5b4e40fe8044",2
"83","3d2531eccfbde1d7c8db7a3a12fb267a",2
"84","3d3ccf2b2f8134b10dce9dd446f0e075",2
"85","3d5d0dc7073a299e31fa718ce1bc00b6",2
"86","3e35a8bb43569389d3cebef0ce820f69",1
"87","3ea08c48e851106d2f584349daba335f",2
"88","3f9be91358837bff69df67edfa3e42e8",2
"89","4125d9385a25e82d2f72d3a0fd55bc3f",1
"90","41b14765bd56c8ad10971074380f9c0c",2
"91","41da412d33e8da4f22baf55cb1bde82c",2
"92","42fa4ee7240e9b8eb4576358ec142ba7",2
"93","43402bdf22aa2310e8f99e2f94f78628",2
"94","44717f64ec2a457979cf83c429077666",1
"95","447d377bdb757058acb569025ee18a93",1
"96","44ed138eca6214d572ce1d813fb0049b",2
"97","455befea1bb853c75ccbca94cff26e5c",2
"98","4867209cb29b56b92893d7bde3ce8012",2
"99","48e954b2da4f6a750c844173b347ed40",2
"100","4a1917ef994878940e1fb03eeb787ad7",2
"101","4a1f694197d05fe70026b016a7316b41",2
"102","4a23adac87cf538689fa600d976f78b2",2
"103","4a82168aaef173cbb6e46ae88728f919",2
"104","4bfc7a4a1cf8d4d2121c27422d9e50b5",2
"105","4c18691b6037662be2df78a765d98ab5",3
"106","4c1c7281388a33dd06daac44f9fadbd1",2
"107","4d0041cdbe51b4617d95c70b19decc74",2
"108","4e480be820e37de1444325ff358c9296",1
"109","4eeb99008a0f59d2c7759c59f9a346eb",2
"110","4f0d637c1197fd65405ebd755ac9f86b",1
"111","4fae87d32467e18eb46e4a76a0a0b9ce",1
"112","4fe2f67634d00c021aa01f96b6f2d68e",1
"113","508808d438fe2ff972ed13bb8f4a82e2",2
